"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Abad","Andy","abadan01",32,2004,0.08,210.00,188.00,25.00,48.00,9.00,1.00,5.00,23.00,3.00,2.00,18.00,35.00,1.00,2.00,1.00,1.00,5.00
"Abbott","Jeff","abbotje01",32,2004,0.10,200.00,179.00,24.00,47.00,10.00,1.00,5.00,23.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Abbott","Kurt","abbotku01",35,2004,0.02,200.00,179.00,24.00,47.00,9.00,1.00,5.00,23.00,3.00,1.00,17.00,33.00,1.00,2.00,1.00,1.00,4.00
"Abernathy","Brent","abernbr01",27,2004,0.73,269.00,244.00,30.00,62.00,11.00,2.00,4.00,25.00,5.00,2.00,18.00,29.00,1.00,2.00,4.00,1.00,5.00
"Abreu","Bobby","abreubo01",30,2004,0.87,616.00,520.00,91.00,153.00,37.00,3.00,20.00,85.00,22.00,8.00,88.00,108.00,9.00,2.00,0.00,6.00,11.00
"Agbayani","Benny","agbaybe01",33,2004,0.59,217.00,193.00,22.00,50.00,9.00,1.00,5.00,25.00,2.00,2.00,20.00,42.00,1.00,2.00,1.00,1.00,6.00
"Alcantara","Israel","alcanis01",33,2004,0.17,203.00,183.00,24.00,48.00,9.00,1.00,6.00,24.00,3.00,2.00,16.00,36.00,1.00,2.00,1.00,1.00,5.00
"Aldridge","Cory","aldrico01",25,2004,0.01,200.00,178.00,26.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,33.00,1.00,2.00,1.00,1.00,4.00
"Alfonzo","Edgardo","alfoned01",31,2004,0.85,549.00,483.00,64.00,130.00,24.00,1.00,15.00,63.00,5.00,1.00,54.00,55.00,4.00,5.00,2.00,5.00,10.00
"Alicea","Luis","alicelu01",39,2004,0.66,227.00,203.00,25.00,51.00,9.00,2.00,3.00,21.00,3.00,2.00,19.00,32.00,1.00,2.00,2.00,1.00,4.00
"Allen","Chad","allench01",29,2004,0.39,214.00,192.00,24.00,50.00,12.00,2.00,5.00,22.00,2.00,1.00,18.00,36.00,1.00,2.00,1.00,1.00,6.00
"Allen","Luke","allenlu01",26,2004,0.04,202.00,180.00,26.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,32.00,1.00,2.00,1.00,1.00,5.00
"Almonte","Erick","almoner01",26,2004,0.32,256.00,229.00,35.00,62.00,13.00,1.00,6.00,29.00,4.00,1.00,21.00,45.00,1.00,3.00,2.00,1.00,6.00
"Alomar","Roberto","alomaro01",36,2004,0.86,564.00,494.00,73.00,135.00,25.00,4.00,10.00,53.00,13.00,3.00,54.00,72.00,3.00,3.00,8.00,5.00,12.00
"Alomar Jr.","Sandy","alomasa02",38,2004,0.71,332.00,309.00,34.00,81.00,16.00,1.00,8.00,38.00,2.00,1.00,15.00,38.00,1.00,2.00,4.00,2.00,9.00
"Alou","Moises","aloumo01",38,2004,0.85,572.00,512.00,68.00,143.00,28.00,1.00,19.00,79.00,5.00,1.00,52.00,66.00,7.00,4.00,0.00,4.00,16.00
"Alvarez","Tony","alvarto01",25,2004,0.09,203.00,180.00,27.00,50.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,32.00,1.00,2.00,2.00,1.00,4.00
"Amezaga","Alfredo","amezaal01",26,2004,0.35,261.00,233.00,34.00,61.00,12.00,2.00,6.00,27.00,4.00,2.00,21.00,43.00,1.00,2.00,4.00,1.00,5.00
"Anderson","Brady","anderbr01",40,2004,0.61,210.00,182.00,21.00,39.00,7.00,1.00,4.00,19.00,4.00,1.00,23.00,35.00,2.00,3.00,1.00,1.00,4.00
"Anderson","Garret","anderga01",32,2004,0.87,604.00,569.00,75.00,170.00,41.00,3.00,24.00,101.00,7.00,3.00,29.00,78.00,7.00,1.00,0.00,5.00,12.00
"Anderson","Marlon","anderma02",30,2004,0.85,527.00,477.00,60.00,129.00,27.00,3.00,8.00,56.00,10.00,3.00,38.00,65.00,7.00,4.00,4.00,4.00,10.00
"Andrews","Shane","andresh01",33,2004,0.05,202.00,180.00,25.00,46.00,10.00,1.00,5.00,23.00,3.00,1.00,17.00,33.00,1.00,3.00,1.00,1.00,4.00
"Arias","Alex","ariasal01",37,2004,0.30,201.00,178.00,24.00,44.00,10.00,1.00,5.00,21.00,2.00,1.00,18.00,32.00,1.00,2.00,1.00,2.00,4.00
"Atkins","Garrett","atkinga01",25,2004,0.23,236.00,213.00,28.00,53.00,10.00,1.00,5.00,25.00,3.00,1.00,18.00,38.00,1.00,3.00,1.00,1.00,4.00
"Aurilia","Rich","aurilri01",33,2004,0.86,531.00,487.00,71.00,136.00,28.00,2.00,17.00,61.00,2.00,2.00,36.00,76.00,1.00,2.00,2.00,4.00,14.00
"Ausmus","Brad","ausmubr01",35,2004,0.83,504.00,452.00,51.00,109.00,18.00,3.00,6.00,48.00,4.00,3.00,40.00,71.00,3.00,4.00,4.00,4.00,16.00
"Aven","Bruce","avenbr01",32,2004,0.12,202.00,179.00,24.00,47.00,9.00,1.00,5.00,22.00,3.00,1.00,18.00,33.00,1.00,3.00,1.00,1.00,5.00
