"nameLast","nameFirst","playerID","lgID","Age","year","reliability","mIP","mW","mL","mSV","mH","mR","mER","bsrER","ERA","mHR","mSO","mBB","mIBB","mHBP","mWP","mBK"
"Pettyjohn","Adam","pettyad01","AL",27,2004,0.20,45.00,2.00,3.00,0.00,47.00,26.00,24.00,23.00,4.70,6.00,30.00,15.00,1.00,2.00,2.00,0.00
"Petkovsek","Mark","petkoma01","AL",39,2004,0.22,25.00,1.00,1.00,0.00,28.00,16.00,14.00,14.00,5.04,4.00,16.00,9.00,1.00,1.00,1.00,0.00
"Prieto","Ariel","prietar01","AL",35,2004,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Parker","Christian","parkech01","AL",29,2004,0.01,60.00,3.00,4.00,0.00,63.00,34.00,31.00,31.00,4.65,8.00,41.00,21.00,2.00,3.00,2.00,0.00
"Rapp","Pat","rapppa01","AL",37,2004,0.39,57.00,2.00,4.00,0.00,59.00,32.00,30.00,29.00,4.66,7.00,33.00,22.00,1.00,2.00,2.00,0.00
"Radinsky","Scott","radinsc01","AL",36,2004,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Pulsipher","Bill","pulsibi01","AL",31,2004,0.10,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,10.00,1.00,1.00,1.00,0.00
"Meacham","Rusty","meachru01","AL",36,2004,0.12,25.00,1.00,2.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,16.00,9.00,1.00,1.00,1.00,0.00
"McDill","Allen","mcdilal01","AL",33,2004,0.05,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Mills","Alan","millsal01","AL",38,2004,0.05,25.00,1.00,1.00,0.00,27.00,15.00,14.00,14.00,5.04,4.00,16.00,10.00,1.00,1.00,1.00,0.00
"Williams","Todd","willito02","AL",33,2004,0.05,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Wallace","Jeff","wallaje01","AL",28,2004,0.16,26.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.50,3.00,18.00,11.00,1.00,1.00,1.00,0.00
"Vining","Ken","vininke01","AL",30,2004,0.02,25.00,1.00,1.00,0.00,27.00,15.00,14.00,13.00,4.86,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Zimmerman","Jeff","zimmeje02","AL",32,2004,0.21,25.00,1.00,1.00,3.00,24.00,12.00,11.00,11.00,3.96,3.00,18.00,8.00,1.00,1.00,1.00,0.00
"Saberhagen","Bret","saberbr01","AL",40,2004,0.05,60.00,3.00,4.00,0.00,65.00,35.00,32.00,32.00,4.80,8.00,39.00,21.00,2.00,3.00,2.00,0.00
"Schourek","Pete","schoupe01","AL",35,2004,0.10,25.00,1.00,2.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Rose","Brian","rosebr01","AL",28,2004,0.10,35.00,2.00,2.00,0.00,38.00,20.00,19.00,19.00,4.89,5.00,23.00,13.00,1.00,1.00,2.00,0.00
"Smart","J.D.","smartjd01","AL",31,2004,0.05,25.00,1.00,2.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Cogan","Tony","coganto01","AL",28,2004,0.08,25.00,1.00,2.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Charlton","Norm","charlno01","AL",41,2004,0.15,25.00,1.00,1.00,0.00,26.00,14.00,12.00,13.00,4.50,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Castillo","Carlos","castica02","AL",29,2004,0.01,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Erdos","Todd","erdosto01","AL",31,2004,0.06,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,16.00,9.00,1.00,1.00,1.00,0.00
"Duvall","Mike","duvalmi01","AL",30,2004,0.02,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Crawford","Paxton","crawfpa02","AL",27,2004,0.12,56.00,3.00,3.00,0.00,57.00,30.00,28.00,27.00,4.42,7.00,38.00,19.00,1.00,2.00,2.00,0.00
"Crabtree","Tim","crabtti01","AL",35,2004,0.08,25.00,1.00,2.00,1.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Brea","Lesli","breale01","AL",31,2004,0.01,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Borkowski","Dave","borkoda01","AL",27,2004,0.10,25.00,1.00,1.00,0.00,25.00,14.00,13.00,12.00,4.50,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Blair","Willie","blairwi01","AL",39,2004,0.08,41.00,2.00,3.00,0.00,45.00,25.00,23.00,22.00,4.94,5.00,27.00,15.00,1.00,2.00,1.00,0.00
"Brantley","Jeff","brantje01","AL",41,2004,0.07,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,16.00,9.00,1.00,1.00,1.00,0.00
"Judd","Mike","juddmi01","AL",29,2004,0.10,34.00,2.00,2.00,0.00,35.00,19.00,17.00,17.00,4.50,4.00,22.00,12.00,1.00,1.00,1.00,0.00
"Holt","Chris","holtch01","AL",33,2004,0.36,51.00,3.00,3.00,0.00,58.00,30.00,28.00,28.00,4.94,6.00,31.00,18.00,1.00,2.00,2.00,0.00
"Hill","Ken","hillke01","AL",39,2004,0.03,25.00,1.00,2.00,0.00,27.00,15.00,14.00,13.00,4.86,3.00,16.00,9.00,1.00,1.00,1.00,0.00
"Kohlmeier","Ryan","kohlmry01","AL",27,2004,0.13,26.00,1.00,1.00,1.00,27.00,15.00,14.00,14.00,4.85,4.00,18.00,9.00,1.00,1.00,1.00,0.00
"Foster","Kris","fostekr01","AL",30,2004,0.04,25.00,1.00,1.00,0.00,26.00,14.00,12.00,13.00,4.50,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Frascatore","John","frascjo01","AL",34,2004,0.06,25.00,1.00,1.00,0.00,26.00,13.00,12.00,13.00,4.50,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Glynn","Ryan","glynnry01","AL",30,2004,0.15,51.00,3.00,3.00,0.00,55.00,30.00,28.00,28.00,4.94,7.00,32.00,20.00,1.00,2.00,3.00,0.00
"Foster","Kevin","fosteke01","AL",35,2004,0.06,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
