teamID,playerID
HOU,mccanbr01
SEA,segurje01
BOS,salech01
MIL,shawtr01
CHN,daviswa01
KCA,solerjo01
WAS,eatonad02
LAA,espinda01
PHI,buchhcl01
SEA,dysonja01
SEA,gallayo01
BAL,smithse01
LAN,forsylo01
ATL,phillbr01
RET,ortizda01
RET,teixema01
HOU,beltrca01
CLE,encared01
HOU,reddijo01
COL,desmoia01
SLN,fowlede01
TOR,pearcst01
NYA,chapmar01
TEX,gomezca01
SFN,melanma01
OAK,plouftr01
KCA,hammeja01
TEX,rossty01
SDN,aybarer01
TEX,napolmi01
ATL,dicker.01
NYA,hollima01
ATL,colonba01
CHN,ueharko01
CLE,jacksau01
RET,rodrial01
RET,fernajo02
RET,ventuyo01
